title,rating,actors,studio,category,aspect,format
Great Expectations,NR,"John Mills, Valerie Hobson",Criterion Collection,Classic,Full,DVD
In The Heat Of The Night,PG,"Sidney Poitier, Rod Steiger",MGM/UA,Drama,Wide,DVD
Casualties Of War,R,Michael J Fox,Warner,Drama,Wide,DVD
We Were Soldiers,R,Mel Gibson,Paramount,Drama,Wide,DVD
"Kentuckian, The",NR,Burt Lancaster,MGM/UA,Classic,Wide,DVD
It Happened One Night,NR,"Clark Gable, Claudette Colbert",Columbia/Tristar,Classic,Full,DVD
Old Yeller,G,"Dorothy McGuire, Fess Parker",Disney,Children,Wide,DVD
Ghost,PG-13,"Patrick Swayze, Demi Moore,",Paramount,Action & Suspense,Wide,DVD
Lost Horizon,NR,"Ronald Colman, Jane Wyatt",Columbia,Classic,Full,DVD
Who Framed Rodger Rabbit,PG,Bob Hoskins,Disney,Animated,Wide,DVD
"Godfather Collection (3 movies), The",R,"Marlon Brando, Al Pacino",Paramount,Drama,Wide,DVD
Wuthering Heights,NR,"Merle Oberon, Laurence Olivier",HBO,Classic,Full,DVD
Annie Hall,PG,Woody Allan,MGM/UA,Comedy,Both,DVD
Final Fantasy: The Spirit Within,PG-13,Alec Baldwin,Columbia/Tristar,Animated,Wide,DVD
"Last Starfighter, The",PG,"Lance Guest, Robert Preston",Universal,Sci-Fi & Fantasy,Wide,DVD
Superman The Movie,PG,"Gene Hackman, Christopher Reeve",Warner,Sci-Fi & Fantasy,Wide,DVD
Superman II,PG,"Gene Hackman, Christopher Reeve",Warner,Sci-Fi & Fantasy,Wide,DVD
Tarzan & Jane,G,Don Mackinnon,Disney,Animated,Wide,DVD
Beauty and the Beast,G,"Robby Benson, Jesse Corti",Disney,Animated,Wide,DVD
BeetleJuice,PG,Michael Keaton,Warner,Sci-Fi & Fantasy,Full,DVD
Singin In the Rain,G,Gene Kelly,Warner,Classic,Full,DVD
Pocahantas,G,"Mel Gibson, Linda Hunt",Disney,Animated,Wide,DVD
"Wiz, The",G,"Diana Ross, Michael Jackson",Universal,Sci-Fi & Fantasy,Wide,DVD
"Wizard Of Oz, The",G,Judy Garland,Warner,Sci-Fi & Fantasy,Full,DVD
Dragonheart,PG-13,Dennis Quaid,Univeral,Sci-Fi & Fantasy,Wide,DVD
Dune,PG-13,Kyle MacLachlan,Univeral,Sci-Fi & Fantasy,Wide,DVD
Atlantis -  Lost Empire,NR,Michael J Fox,Columbia/Tristar,Animated,Both,DVD
Atlantis  - Milo Returns,NR,Michael J Fox,Columbia/Tristar,Animated,Wide,DVD
Jason & the Argonauts,G,Todd Armstrong,Columbia/Tristar,Sci-Fi & Fantasy,Both,DVD
"Golden Voyage of Sinbad, The",G,John Phillip Law,Columbia,Sci-Fi & Fantasy,Wide,DVD
Sinbad & the Eye of the Tiger,PG,"Patrick Wayne, Jane Seymour",Columbia/Tristar,Sci-Fi & Fantasy,Wide,DVD
"7th Voyage of Sinbad, The",G,"Kerwin Mathews, Kathryn Grant",Columbia/Trista,Sci-Fi & Fantasy,Wide,DVD
Transformers - The Movie,PG,,Rhino,Animated,,DVD
Transformers - The Entire 1st Season,G,,Wea Corp,Animated,,DVD
Transformers - Second Season Part I,G,,Wea Corp,Animated,,DVD
Time Bandits,PG,"Sean Connery, Shelley Duvall",Criterion Collection,Sci-Fi & Fantasy,Wide,DVD
Clash of the Titans,PG,Harry Hamlin,Warner,Sci-Fi & Fantasy,Wide,DVD
Homeward Bound,G,Michael J. Fox,Buena Vista,Children,Full,DVD
Willow,PG,"Val Kilmer, Joanne Whalley",Fox,Sci-Fi & Fantasy,Wide,DVD
"Pride Of the Yankees, The",NR,Gary Cooper,MGM/UA,Classic,Full,DVD
They Call Me Mister Tibbs!,PG,Sidney Poitier,MGM/UA,Drama,Full,DVD
Spirit - Stallion of the Cimeron,G," Matt Damon",Universal,Animated,Wide,DVD
Small Soldiers,PG-13,"Gregory Smith, Kirsten Dunst",Dreamworks,Sci-Fi & Fantasy,Wide,DVD
Back to the Future 1,PG,Michael J Fox,Universal,Sci-Fi & Fantasy,Full,DVD
Mr. Deeds Goes to Town,NR,Gary Cooper,Columbia,Classic,Full,DVD
Star Trek - The Motion Picture,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Wrath Of Khan,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Search For Spock,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Voyage Home,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Final Frontier,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - The Undiscovered Country,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Generations,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - First Contact,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
Star Trek - Insurrection,PG,William Shatner,Paramount,Sci-Fi & Fantasy,Wide,DVD
My Big Fat Greek Wedding,PG,Nia Vardalos,HBO,Comedy,Both,DVD
Indiana Jones & The Raiders of the Lost Ark,PG,Harrison Ford,Paramount,Sci-Fi & Fantasy,Wide,DVD
Indiana Jones & The Temple Of Doom,PG,Harrison Ford,Paramount,Sci-Fi & Fantasy,Wide,DVD
Men In Black I,PG-13,"Tommy Lee Jones, Will Smith",Columbia,Sci-Fi & Fantasy,Both,DVD
X-Men,PG-13,Patrick Stewart,Fox,Sci-Fi & Fantasy,Wide,DVD
To Kill A Mockingbird,NR,Gregory Peck,Universal,Classic,Wide,DVD
Beautiful Mind,PG-13,Russel Crowe,Univeral,Drama,Wide,DVD
Total Recall,R,"Arnold Schwarzenegger, Sharon Stone",Artisan,Sci-Fi & Fantasy,Wide,DVD
Independence Day,PG-13,Will Smith,Fox,Sci-Fi & Fantasy,Wide,DVD
Training Day,R,"Denzel Washington, Ethan Hawke",Warner,Drama,Wide,DVD
Spawn,R,"Michael Jai White, John Leguizamo",New Line Studios,Sci-Fi & Fantasy,Wide,DVD
"Shadow, The",PG-13,Alec Baldwin,Universal,Sci-Fi & Fantasy,Full,DVD
Airforce One,R,Harrison Ford,Columbia/Tristar,Action & Suspense,Both,DVD
Goodfellas,R,"Robert De Niro, Ray Liotta",Warner,Drama,Wide,DVD
Apocalypse Now Redux,R,Martin Sheen,Paramount,Drama,Wide,DVD
Spy Kids II - The Island of Lost Dreams,PG,"Antonio Banderas, Carla Gugino",Buena Vista,Sci-Fi & Fantasy,Wide,DVD
